CustomerNo,Sex,Marital status,Age,Education,Income,Occupation,Size of Community
206,0,0,38,1,222294,2,2
207,0,0,43,1,112878,1,0
208,0,0,26,0,103411,1,2
209,0,1,21,1,112868,0,0
210,0,0,55,1,157940,1,2
211,0,0,33,1,115835,1,2
212,1,1,45,2,109807,0,0
213,0,0,50,1,150699,1,1
214,0,0,66,2,178967,2,0
215,0,0,51,1,132767,1,0
216,1,1,39,2,86152,0,0
217,0,0,31,0,114528,1,2
218,0,0,23,0,133912,1,1
219,0,1,24,1,81210,0,0
220,1,1,64,3,131242,1,0
221,0,1,26,1,68804,0,0
222,1,1,23,1,96961,1,1
223,0,0,30,0,90719,1,2
224,0,0,32,0,114116,1,1
225,0,0,30,0,128639,1,1
226,0,0,27,0,106623,1,1
227,0,0,27,0,236264,1,1
228,0,0,53,1,207783,2,1
229,0,0,22,0,91739,1,1
230,0,0,22,0,107780,1,2
231,0,0,26,0,139157,1,2
232,0,0,51,1,121751,0,0
233,0,0,35,1,121974,1,0
234,0,1,25,1,70320,0,0
235,0,0,42,1,78327,0,0
236,0,0,30,0,131433,2,0
237,0,0,23,0,167076,0,2
238,0,1,61,2,130788,0,0
239,1,1,35,1,107408,1,1
240,0,0,39,1,115323,1,1
241,1,1,29,1,99012,1,0
242,0,0,51,1,115996,1,1
243,0,0,24,0,123353,1,1
244,1,1,27,1,100008,1,0
245,1,1,35,1,125105,0,0
246,0,0,25,0,92020,1,2
247,0,0,52,1,108365,1,2
248,0,0,35,1,112979,1,0
249,0,0,26,0,117221,1,1
250,1,1,22,1,88800,1,2
251,1,1,39,2,115099,0,0
252,1,1,46,2,113399,0,0
253,1,1,24,1,115879,1,1
254,0,0,35,1,141270,1,2
255,0,0,24,0,107633,1,1
256,0,0,27,0,131751,0,0
257,0,0,35,1,83687,0,0
258,0,1,29,1,106828,1,2
259,1,1,23,1,135537,1,1
260,1,1,57,2,107142,0,0
261,0,0,27,0,97446,1,1
262,1,1,55,2,126357,1,2
263,0,0,36,1,169617,2,1
264,1,1,57,2,108945,0,0
265,0,0,32,0,67345,0,0
266,0,0,37,1,106215,1,0
267,0,0,36,1,149237,1,0
268,1,1,38,1,112124,1,0
269,0,1,45,2,215150,2,2
270,0,0,25,0,89534,1,1
271,0,0,32,0,111082,1,2
272,1,1,37,1,137069,1,1
273,0,0,36,1,244541,2,2
274,0,0,28,0,120712,1,1
275,0,1,34,1,175367,0,0
276,0,0,32,0,111418,1,1
277,1,1,26,1,110913,1,0
278,0,1,49,2,84267,0,0
279,1,1,32,1,136886,1,2
280,0,0,29,0,144884,2,2
281,0,0,23,0,151180,1,1
282,0,0,50,1,114997,1,1
283,0,0,49,1,100961,0,0
284,0,0,63,2,124849,1,2
285,0,1,37,1,152308,1,2
286,1,1,35,1,167945,0,1
287,0,0,26,0,126706,1,2
288,0,0,31,0,210017,2,2
289,1,1,49,2,125665,1,1
290,0,1,48,2,111184,1,1
291,0,1,26,1,94134,1,0
292,0,1,28,1,214620,2,1
293,1,1,44,2,193816,2,1
294,0,0,56,1,168714,1,1
295,0,1,46,2,202997,2,1
296,1,1,26,1,192451,1,2
297,1,1,20,1,127928,1,2
298,0,0,45,1,78253,0,0
299,0,0,43,1,118446,1,1
300,0,0,32,0,161379,1,2
301,1,1,54,2,56622,0,0
302,1,1,42,2,146117,1,1
303,0,0,37,1,90418,0,0
304,0,0,49,1,109053,1,0
305,0,0,44,1,219319,1,0
306,0,1,33,1,144701,1,1
307,1,1,24,1,102425,0,0
308,0,1,33,1,79867,0,0
309,1,1,24,1,107114,1,2
310,0,1,22,1,62263,0,0
311,0,0,40,1,92567,0,0
312,0,0,25,0,146349,1,0
313,1,1,26,1,141825,1,1
314,0,1,25,1,68582,0,0
315,0,0,29,0,85476,0,0
316,0,0,31,0,111091,1,2
317,0,0,38,1,67110,0,0
318,1,1,48,2,126154,0,0
319,0,0,32,0,92257,1,2
320,1,1,27,1,93605,0,0
321,0,1,28,1,165190,2,0
322,0,1,32,1,107195,1,0
323,0,0,34,1,145059,2,0
324,0,0,28,0,148363,1,0
325,1,1,36,1,105681,1,2
326,0,0,39,1,93732,0,0
327,0,0,49,1,154778,1,2
328,1,1,34,1,149356,1,2
329,0,0,31,0,145670,1,1
330,0,0,28,0,101589,1,2
331,0,0,75,2,213333,2,1
332,1,1,30,1,122420,1,0
333,1,1,24,1,209856,2,1
334,1,1,24,1,181003,0,0
335,0,0,23,0,117804,1,1
336,0,1,44,2,160650,2,1
337,1,1,23,1,84611,0,0
338,1,1,24,1,98479,1,2
339,0,0,28,0,122359,1,2
340,0,1,31,1,81394,0,0
341,1,1,24,1,150372,1,1
342,1,1,26,1,92385,0,0
343,0,1,25,1,149851,1,2
344,0,0,33,1,167939,2,1
345,0,0,37,1,115426,0,0
346,1,1,43,2,85402,0,0
347,0,0,23,0,95815,1,2
348,1,1,23,1,97518,0,0
349,0,0,34,1,87355,0,0
350,0,0,32,0,145933,1,1
351,1,1,23,1,97307,1,0
352,1,1,29,1,108434,1,2
353,0,0,38,1,151312,2,1
354,0,0,28,0,141847,1,1
355,0,0,46,1,130675,1,2
356,0,0,23,0,69309,0,0
357,0,0,49,1,121466,1,2
358,0,0,26,0,153586,2,2
359,0,1,28,1,92849,1,0
360,1,1,23,1,108539,1,2
361,0,0,61,2,129556,1,2
362,0,0,37,1,170146,2,0
363,1,1,36,1,135383,1,1
364,0,1,21,1,96769,1,2
365,0,0,25,0,43684,0,0
366,0,0,36,1,103521,1,0
367,0,0,27,0,118499,1,1
368,1,1,22,1,119684,1,2
369,0,0,42,1,126586,1,1
370,1,1,40,2,136812,1,2
371,0,0,36,1,118277,1,1
372,0,0,33,1,144597,1,1
373,1,1,23,1,106043,1,0
374,0,0,63,2,272314,2,2
375,1,1,60,2,309364,2,2
376,1,1,37,1,170386,1,1
377,0,1,34,1,112458,1,0
378,0,0,36,1,96840,1,1
379,0,0,57,2,281923,2,1
380,1,1,52,2,95551,0,0
381,0,0,39,1,112347,1,2
382,1,1,38,1,260977,2,2
383,1,1,25,1,99354,1,0
384,0,0,26,0,111509,1,2
385,0,0,26,0,105252,0,0
386,1,1,25,1,108522,1,0
387,1,1,21,1,94655,1,1
388,0,0,40,1,201699,2,1
389,0,0,27,0,139868,1,2
390,1,1,27,1,102543,1,1
391,0,1,30,1,134467,2,2
392,1,1,19,1,111187,0,0
393,0,0,39,1,152302,2,1
394,1,1,31,1,110610,1,2
395,0,0,31,0,137827,2,2
396,0,0,32,0,220923,1,2
397,1,1,55,2,165717,2,2
398,0,1,46,2,122299,1,0
399,0,1,46,2,120499,1,0
400,1,1,43,2,126449,0,0
401,0,1,39,1,108315,1,2
402,0,1,28,1,112515,1,1
403,0,0,27,0,164559,1,1
404,0,0,27,0,59238,0,0
405,0,0,43,1,131133,1,0
406,0,1,22,1,109188,1,0
407,0,0,43,1,115393,1,1
408,0,1,27,1,94711,1,2
409,0,1,26,1,171860,2,0
410,0,1,28,1,139414,1,2
411,1,1,20,1,110931,1,1
412,0,0,35,1,187549,2,2
413,0,0,42,1,145508,2,0
414,0,0,40,1,104240,0,0
415,1,1,35,1,108272,1,1
416,0,0,35,1,144004,1,2
417,0,0,33,1,81083,0,0
418,1,1,23,1,166763,1,1
419,1,1,31,1,175530,2,1
420,1,1,33,1,112422,1,1
421,1,1,20,1,154134,1,2
422,0,0,30,0,112401,1,1
423,0,0,47,1,85690,0,0
424,0,0,34,1,145896,2,2
425,1,1,25,1,122552,1,2
426,0,1,21,1,115494,1,2
427,0,0,29,0,109467,1,0
428,0,0,46,1,148226,1,2
429,0,0,20,0,88559,1,1
430,1,1,55,2,62393,0,0
431,0,0,74,2,122133,0,0
432,0,0,29,0,230883,2,2
433,0,0,36,1,136689,2,2
434,0,1,33,1,109145,1,0
435,0,0,25,0,100449,1,2
436,0,1,25,1,106253,1,0
437,0,1,23,1,84747,0,0
438,1,1,37,1,149465,1,1
439,0,0,65,2,84435,0,0
440,1,1,26,1,51681,0,0
441,0,0,39,1,139198,2,1
442,1,1,30,1,106577,1,1
443,0,0,29,0,117372,1,2
444,0,0,41,1,69609,0,0
445,1,1,30,1,178947,2,2
446,1,1,41,2,81743,0,0
447,1,1,34,1,111900,1,1
448,0,0,35,1,121650,1,0
449,1,1,55,2,172639,2,2
450,0,1,61,2,175740,1,1
451,0,0,30,0,220050,2,2
452,1,1,29,1,95200,1,1
453,0,0,34,1,113609,1,1
454,0,0,35,1,143552,2,2
455,0,0,31,0,130973,1,2
456,1,1,29,1,145946,2,2
457,0,0,36,1,126206,1,1
458,0,0,35,1,120426,1,0
459,1,1,27,1,91925,1,2
460,0,0,32,0,129630,1,2
461,0,0,37,1,124268,1,2
462,0,0,36,1,105240,1,1
463,1,1,34,1,162180,2,0
464,0,0,38,1,106552,1,2
465,0,0,34,1,105843,1,2
466,0,0,63,2,138327,1,1
467,1,1,29,1,76154,0,0
468,0,0,32,0,155012,1,1
469,1,1,26,1,114369,1,1
470,0,0,35,1,102839,0,0
471,0,1,22,1,132796,1,0
472,1,1,23,1,89742,1,2
473,0,0,28,0,58615,0,0
474,0,0,36,1,130603,2,2
475,0,1,33,1,110340,1,0
476,1,1,26,1,117729,1,2
477,0,0,24,0,130808,1,0
478,0,0,25,0,147402,1,2
479,0,0,39,1,93567,0,0
480,0,0,44,1,109289,1,1
481,1,1,23,1,98742,0,0
482,0,0,26,0,101270,1,0
483,1,1,57,2,187835,1,1
484,1,1,30,1,140741,1,0
485,0,0,44,1,133265,1,2
486,0,0,47,1,148100,2,2
487,0,0,52,1,131021,1,2
488,1,1,62,2,152620,1,2
489,0,0,35,1,85033,0,0
490,0,0,26,0,114514,1,1
491,0,0,26,0,99307,1,1
492,1,1,42,2,219451,2,2
493,1,1,27,1,114007,1,0
494,0,0,38,1,102846,1,0
495,0,0,39,1,81483,0,0
496,0,1,20,1,107779,1,2
497,0,0,29,0,222360,2,2
498,0,0,40,1,107125,1,0
499,0,1,32,1,80080,0,0
500,0,1,28,1,129600,1,0
501,1,1,27,1,118613,1,1
502,0,0,42,1,146237,1,1
503,0,1,49,2,144461,1,2
504,0,0,38,1,124487,1,0
505,1,1,24,1,97826,1,0
506,0,0,27,0,64105,0,0
507,0,0,36,1,156374,1,2
508,0,0,34,1,205383,2,2
509,0,1,28,1,98964,1,2
510,0,0,45,1,221842,2,2
511,0,0,26,0,88027,1,2
512,0,0,32,0,160513,2,2
513,0,0,26,0,124536,1,2
514,0,1,20,1,93634,1,0
515,0,0,54,1,124725,1,0
516,1,1,37,1,102456,1,0
517,0,0,40,1,74975,0,0
518,1,1,23,1,153861,1,1
519,0,0,43,1,119351,1,2
520,0,0,36,1,95438,1,2
521,0,0,44,1,147967,1,2
522,1,1,24,1,116863,1,1
523,0,0,53,1,170622,1,1
524,1,1,23,1,132426,1,1
525,1,1,26,1,77519,0,0
526,0,0,30,0,169405,1,2
527,1,1,31,1,120030,1,0
528,0,0,42,1,77933,0,0
529,0,1,31,1,109892,1,1
530,0,0,41,1,69062,0,0
531,0,0,32,0,116348,1,0
532,1,1,28,1,137188,1,1
533,0,1,41,1,110199,1,0
534,0,1,26,1,109890,1,1
535,0,0,25,0,109751,1,2
536,0,1,33,1,129651,1,1
537,1,1,75,3,170113,2,1
538,1,1,37,1,140285,1,1
539,0,0,42,1,198029,2,2
540,1,1,45,2,120262,0,0
541,0,1,23,1,105137,1,1
542,0,0,60,2,127371,1,0
543,0,0,31,0,145689,1,0
544,0,0,34,1,102617,0,1
545,0,0,61,2,90709,0,0
546,0,0,43,1,107099,1,1
547,1,1,37,1,116021,1,2
548,0,0,32,0,100426,1,2
549,1,1,24,1,62249,0,0
550,0,0,35,1,172957,1,1
551,1,1,23,1,95003,1,1
552,0,0,45,1,109698,0,0
553,0,1,34,1,157376,1,0
554,0,0,27,0,123191,1,2
555,1,1,67,3,171052,2,0
556,0,0,22,0,99328,1,0
557,1,1,28,1,133799,1,2
558,1,1,29,1,138256,1,2
559,0,0,27,0,115638,1,0
560,0,0,31,0,82238,0,0
561,0,0,49,1,127543,1,1
562,0,0,24,0,63987,0,0
563,1,1,29,1,114784,1,0
564,0,0,37,1,217450,1,1
565,0,0,37,1,173751,2,2
566,1,1,23,1,122850,1,0
567,0,1,36,1,104953,1,0
568,0,0,34,1,152371,1,1
569,0,0,41,1,139905,1,0
570,1,1,31,1,156700,1,1
571,1,1,23,1,86488,0,0
572,0,0,38,1,147472,1,0
573,1,1,26,1,169991,2,0
574,1,1,22,1,62381,0,0
575,0,0,27,0,70926,0,0
576,1,1,24,1,113004,1,1
577,1,1,27,1,125760,1,0
578,1,1,33,1,111918,1,2
579,0,1,27,1,120674,1,1
580,0,1,27,1,63597,0,0
581,0,0,30,0,103069,1,1
582,0,0,49,1,108079,0,0
583,1,1,26,1,101159,1,1
584,0,0,33,1,88211,0,0
585,1,1,52,2,159052,2,1
586,1,1,20,1,102623,1,2
587,0,0,36,1,115589,1,0
588,0,0,21,0,59127,0,0
589,0,1,47,2,82240,0,0
590,0,0,60,2,129425,1,1
591,1,1,58,2,87058,0,0
592,1,1,42,2,128462,1,2
593,1,1,36,1,121403,0,0
594,1,1,20,1,88141,0,0
595,0,0,40,1,134946,2,2
596,1,1,32,1,94058,0,0
597,1,1,23,1,99285,1,1
598,0,0,36,1,108432,0,0
599,0,0,31,0,111369,1,0
600,0,0,32,0,122612,1,2
601,1,1,45,2,134350,1,0
602,1,1,30,1,108838,1,2
603,1,1,34,1,90852,0,0
604,1,1,28,1,151580,2,2
605,1,1,23,1,115681,1,1
606,0,0,22,0,131699,1,1
607,0,0,74,2,192481,2,1
608,1,1,50,2,155122,1,2
609,0,0,33,1,106015,1,2
610,0,0,45,1,108378,1,0
611,1,1,22,1,105257,1,1
612,1,1,48,2,118788,0,0
613,1,1,29,1,162955,1,2
614,1,1,22,1,119511,1,2
615,1,1,22,1,102000,1,0
616,0,0,48,1,254449,2,1
617,0,0,27,0,208446,2,2
618,0,0,37,1,124805,1,0
619,1,1,21,1,139379,1,0
620,0,1,49,2,78296,0,0
621,0,0,27,0,125598,1,1
622,0,0,32,0,100215,1,2
623,0,1,38,1,130951,1,2
624,1,1,22,1,102480,1,2
625,0,0,65,2,136812,1,1
626,0,0,35,1,106919,1,1
627,0,0,41,1,131020,1,2
628,0,0,29,0,119429,1,1
629,0,0,36,1,154521,1,1
630,0,0,64,2,117842,0,0
631,1,1,28,1,124566,1,2
632,0,0,44,1,110009,1,2
633,0,0,23,0,101210,1,1
634,1,1,19,1,101258,1,0
635,1,1,25,1,79045,0,0
636,0,0,47,1,110866,1,0
637,1,1,28,1,129640,1,2
638,0,0,21,0,227021,1,1
639,1,1,34,1,108549,1,1
640,0,0,26,0,122693,1,0
641,1,1,27,1,35832,0,0
642,0,0,38,1,81870,0,0
643,0,0,40,1,179790,2,2
644,0,1,33,1,107158,1,1
645,0,1,32,1,136638,2,1
646,0,0,27,0,158147,1,2
647,0,1,32,1,132587,1,2
648,1,1,26,1,128140,1,2
649,0,0,38,1,117405,1,1
650,0,0,40,1,68475,0,0
651,0,0,50,1,201656,2,2
652,0,0,37,1,86967,0,0
653,0,0,45,1,118006,1,1
654,0,0,42,1,223630,2,2
655,0,0,35,1,110442,1,0
656,0,0,22,0,115691,1,2
657,0,0,41,1,80232,0,0
658,0,0,37,1,187647,1,1
659,1,1,28,1,138952,1,1
660,0,0,41,1,162772,1,2
661,0,1,23,1,111862,1,1
662,0,1,23,1,90051,1,1
663,0,0,50,1,121400,1,1
664,0,0,35,1,137000,2,2
665,1,1,50,2,105031,0,0
666,0,0,27,0,172153,2,2
667,0,0,34,1,170184,1,1
668,1,1,27,1,123279,1,1
669,0,0,43,1,140795,1,0
670,0,0,47,1,144456,1,0
671,0,0,27,0,104773,0,0
672,0,0,31,0,153353,1,1
673,0,0,42,1,223018,2,1
674,0,1,24,1,129177,1,2
675,0,0,41,1,114475,0,1
676,1,1,26,1,161323,2,1
677,0,0,33,1,135765,1,2
678,0,1,24,1,158421,1,0
679,0,0,64,2,103941,0,0
680,1,1,26,1,101783,1,2
681,1,1,56,2,126531,1,1
682,0,0,37,1,111394,1,1
683,0,1,33,1,103577,1,2
684,0,1,47,2,149545,1,1
685,0,0,31,0,171857,0,0
686,0,0,34,1,149782,1,1
687,0,0,27,0,112470,1,1
688,0,0,30,0,133907,1,2
689,0,0,35,1,127849,1,1
690,0,0,31,0,160279,1,2
691,0,1,25,1,92366,1,2
692,1,1,25,1,104794,0,0
693,0,0,29,0,133436,1,1
694,0,0,44,1,110374,0,0
695,0,0,28,0,104263,1,1
696,0,0,50,1,138752,1,0
697,0,0,29,0,102723,1,0
698,1,1,38,1,46297,0,0
699,0,0,24,0,96425,1,1
700,0,0,40,1,158197,2,1
701,1,1,29,1,98008,0,0
702,0,0,46,1,157473,1,0
703,1,1,47,2,149306,1,0
704,0,0,41,1,139236,1,1
705,1,1,32,1,125890,1,2
706,1,1,35,1,173124,1,1
707,0,0,24,0,164621,1,1
708,1,1,25,1,124539,1,1
709,1,1,25,1,107614,1,1
710,0,0,37,1,88849,0,0
711,0,0,32,0,148566,2,2
712,1,1,35,1,106515,1,2
713,0,0,46,1,150465,2,1
714,0,0,25,0,60868,0,0
715,0,0,27,0,255198,2,2
716,0,0,63,2,183178,1,1
717,0,0,40,1,121448,1,2
718,0,0,32,0,129975,2,2
719,0,0,31,0,132950,1,2
720,0,1,31,1,169314,1,1
721,0,0,34,1,147958,2,1
722,1,1,24,1,139896,1,2
723,1,1,24,1,68028,0,0
724,1,1,66,3,133328,0,0
725,1,1,21,1,108518,1,2
726,1,1,41,2,112700,0,0
727,0,1,47,2,110190,0,0
728,1,1,25,1,105104,1,1
729,1,1,59,2,184753,1,1
730,0,1,36,1,162521,1,2
731,0,0,33,1,156794,1,1
732,0,0,21,0,65827,0,0
733,1,1,44,2,88490,0,0
734,1,1,28,1,154919,1,2
735,1,1,37,1,129058,1,0
736,1,1,29,1,77532,0,0
737,1,1,23,1,235417,2,2
738,0,0,35,1,113468,0,0
739,0,0,45,1,190803,2,2
740,1,1,26,1,121423,0,0
741,0,0,32,0,121347,1,1
742,0,0,23,0,67408,0,0
743,0,0,41,1,123043,1,1
744,0,0,22,0,128387,1,2
745,0,0,30,0,250050,2,1
746,0,0,28,0,69588,0,0
747,1,1,23,1,109547,1,1
748,1,1,37,1,78840,0,0
749,0,0,26,0,131122,1,0
750,0,0,33,1,115403,1,1
751,1,1,49,2,110291,1,2
752,1,1,23,1,64811,0,0
753,1,1,23,1,86015,0,0
754,1,1,25,1,142438,1,2
755,0,0,55,1,159303,1,1
756,1,1,32,1,104957,1,1
757,0,0,74,2,89502,0,0
758,0,0,39,1,121313,1,1
759,0,0,31,0,98102,1,0
760,0,0,35,1,94554,1,1
761,1,1,59,2,162591,1,1
762,1,1,24,1,106629,1,2
763,0,0,24,0,70400,0,0
764,0,0,30,0,235660,2,2
765,0,1,27,1,121747,1,2
766,0,1,40,1,85060,0,0
767,0,1,31,1,87630,0,0
768,1,1,31,1,119673,1,0
769,0,0,28,0,126060,1,2
770,0,0,63,2,96145,0,0
771,1,1,26,1,114830,1,0
772,1,1,25,1,194461,2,2
773,0,0,36,1,150158,2,2
774,0,0,52,1,136323,1,2
775,0,0,66,2,111858,0,0
776,1,1,25,1,100198,1,0
777,0,0,37,1,123452,1,2
778,1,1,25,1,120723,1,1
779,0,0,38,1,215639,2,1
780,1,1,67,3,166712,1,1
781,0,0,25,0,136300,1,1
782,0,0,60,2,166988,1,2
783,0,0,31,0,77265,0,0
784,1,1,23,1,85967,0,0
785,0,1,60,2,212020,2,0
786,0,0,35,1,126054,0,0
787,0,0,40,1,144589,1,0
788,0,0,38,1,116723,1,1
789,0,0,50,1,168637,1,1
790,0,0,27,0,139119,1,1
791,1,1,39,2,118610,1,2
792,0,0,41,1,183312,2,2
793,0,1,27,1,96323,1,0
794,0,1,51,2,149510,1,2
795,0,0,32,0,141922,1,2
796,1,1,22,1,120233,1,0
797,0,0,51,1,172790,1,1
798,1,1,22,1,66720,0,0
799,0,1,54,2,113024,1,1
800,0,0,35,1,51791,0,0
801,0,0,54,1,118408,1,2
802,1,1,48,2,101616,0,0
803,1,1,24,1,127250,1,0
804,0,0,35,1,97290,1,0
805,1,1,24,1,106970,0,0
806,0,0,24,0,168147,1,2
807,0,1,26,1,68468,0,0
808,0,0,65,2,120780,1,2
809,0,0,55,1,231992,2,2
810,1,1,26,1,53903,0,0
811,0,1,26,1,101511,1,2
812,0,1,28,1,69046,0,0
813,0,0,24,0,171584,1,1
814,0,0,54,1,132367,1,2
815,0,0,46,1,134433,1,2
816,1,1,54,2,190518,1,0
817,0,1,62,2,152367,1,1
818,1,1,24,1,101157,1,1
819,0,1,43,2,279593,2,2
